Price,Close,High,Low,Open,Volume
Ticker,XTB.WA,XTB.WA,XTB.WA,XTB.WA,XTB.WA
Date,,,,,
2025-06-30,81.45999908447266,81.45999908447266,79.9800033569336,80.63999938964844,459737
2025-07-01,79.5,82.22000122070312,79.5,81.5,604201
2025-07-02,77.5,79.30000305175781,76.41999816894531,79.30000305175781,429904
2025-07-03,75.22000122070312,77.69999694824219,74.37999725341797,77.5,728045
2025-07-04,74.58000183105469,76.37999725341797,74.0199966430664,75.27999877929688,348771
2025-07-07,70.0,73.95999908447266,69.94000244140625,73.80000305175781,1579816
2025-07-08,72.12000274658203,73.19999694824219,70.30000305175781,70.31999969482422,721710
2025-07-09,72.5,73.5,71.4000015258789,72.12000274658203,329358
2025-07-10,71.4000015258789,73.19999694824219,71.18000030517578,72.87999725341797,220457
2025-07-11,71.87999725341797,72.08000183105469,71.22000122070312,71.41999816894531,180367
2025-07-14,72.0999984741211,72.36000061035156,71.4000015258789,72.0,162845
2025-07-15,71.76000213623047,72.5,71.30000305175781,72.0999984741211,146713
2025-07-16,71.0999984741211,71.95999908447266,70.63999938964844,71.76000213623047,237050
2025-07-17,71.66000366210938,71.80000305175781,70.73999786376953,71.0999984741211,312985
2025-07-18,73.9000015258789,74.12000274658203,71.76000213623047,71.9000015258789,382383
2025-07-21,73.4000015258789,74.19999694824219,72.77999877929688,74.0,173915
2025-07-22,71.33999633789062,73.05999755859375,71.04000091552734,73.0,351485
2025-07-23,71.5999984741211,72.18000030517578,71.33999633789062,71.69999694824219,191226
2025-07-24,72.91999816894531,73.16000366210938,71.66000366210938,71.66000366210938,249314
2025-07-25,73.12000274658203,74.0,72.45999908447266,72.76000213623047,151831
2025-07-28,72.69999694824219,73.86000061035156,72.27999877929688,73.22000122070312,137800
2025-07-29,73.95999908447266,73.95999908447266,72.77999877929688,72.9800033569336,197355
2025-07-30,75.0,75.26000213623047,73.5,74.0,317352
2025-07-31,75.05999755859375,76.18000030517578,74.0,75.04000091552734,412965
2025-08-01,70.12000274658203,72.4000015258789,70.04000091552734,72.0,1210697
2025-08-04,72.30000305175781,72.66000366210938,70.04000091552734,70.5,380647
2025-08-05,74.23999786376953,75.58000183105469,72.68000030517578,72.69999694824219,536026
2025-08-06,76.13999938964844,76.45999908447266,74.5199966430664,75.23999786376953,412893
2025-08-07,78.0,79.0999984741211,76.0999984741211,76.16000366210938,513309
2025-08-08,77.4000015258789,78.45999908447266,76.27999877929688,77.76000213623047,201665
2025-08-11,77.0,78.19999694824219,76.41999816894531,77.19999694824219,154995
2025-08-12,76.68000030517578,77.37999725341797,76.23999786376953,77.0,186982
2025-08-13,76.22000122070312,78.5999984741211,75.63999938964844,76.69999694824219,194766
2025-08-14,76.36000061035156,76.80000305175781,74.69999694824219,76.37999725341797,329883
2025-08-18,77.19999694824219,77.44000244140625,75.44000244140625,76.36000061035156,167399
2025-08-19,77.4000015258789,78.16000366210938,77.0999984741211,77.41999816894531,175521
2025-08-20,76.4800033569336,77.33999633789062,76.13999938964844,77.19999694824219,110593
2025-08-21,77.5,77.55999755859375,76.41999816894531,76.45999908447266,137800
2025-08-22,77.5,77.5999984741211,76.5199966430664,77.4800033569336,212214
2025-08-25,77.68000030517578,78.19999694824219,77.05999755859375,77.5,162012
2025-08-26,77.54000091552734,77.9000015258789,77.23999786376953,77.5,210318
2025-08-27,76.76000213623047,77.87999725341797,75.91999816894531,77.5999984741211,195241
2025-08-28,75.54000091552734,76.9000015258789,74.0,76.80000305175781,263513
2025-08-29,77.0,77.69999694824219,74.72000122070312,75.0999984741211,246635
2025-09-01,76.87999725341797,77.69999694824219,75.68000030517578,77.0,180804
2025-09-02,75.5,77.73999786376953,75.30000305175781,77.0,176479
2025-09-03,76.30000305175781,77.04000091552734,75.30000305175781,75.5,154505
2025-09-04,77.54000091552734,77.58000183105469,75.9000015258789,76.5,195130
2025-09-05,76.63999938964844,78.5999984741211,76.63999938964844,77.19999694824219,307760
2025-09-08,78.58000183105469,78.58000183105469,76.80000305175781,76.80000305175781,165259
2025-09-09,78.33999633789062,78.63999938964844,77.9000015258789,78.5,119793
2025-09-10,75.81999969482422,78.19999694824219,75.5999984741211,77.87999725341797,284616
2025-09-11,76.22000122070312,76.58000183105469,75.9800033569336,76.0,152307
2025-09-12,75.72000122070312,76.72000122070312,75.5999984741211,76.22000122070312,126853
2025-09-15,75.83999633789062,76.4000015258789,75.12000274658203,75.94000244140625,163795
2025-09-16,73.86000061035156,76.72000122070312,73.5,75.95999908447266,402387
2025-09-17,72.19999694824219,74.76000213623047,72.0999984741211,74.37999725341797,321349
2025-09-18,73.0,73.4000015258789,72.16000366210938,72.19999694824219,269968
2025-09-19,72.0,74.19999694824219,72.0,73.19999694824219,855837
2025-09-22,72.22000122070312,72.5999984741211,71.5,72.0,180443
2025-09-23,72.91999816894531,73.16000366210938,72.22000122070312,72.22000122070312,157927
2025-09-24,72.37999725341797,73.0,71.91999816894531,72.9800033569336,165001
2025-09-25,71.76000213623047,72.9800033569336,71.69999694824219,72.4000015258789,109369
2025-09-26,72.0,72.63999938964844,71.58000183105469,71.81999969482422,156931
2025-09-29,71.55999755859375,72.36000061035156,71.41999816894531,72.30000305175781,155602
2025-09-30,71.80000305175781,72.5,71.55999755859375,71.87999725341797,241817
2025-10-01,71.33999633789062,72.27999877929688,71.0999984741211,72.16000366210938,206718
2025-10-02,71.30000305175781,72.12000274658203,71.22000122070312,71.69999694824219,202609
2025-10-03,70.77999877929688,72.0,70.69999694824219,71.9000015258789,160402
2025-10-06,68.95999908447266,71.9800033569336,68.95999908447266,71.5199966430664,421493
2025-10-07,69.33999633789062,69.77999877929688,67.55999755859375,69.5,573892
2025-10-08,67.55999755859375,70.19999694824219,66.83999633789062,69.94000244140625,539874
2025-10-09,68.5999984741211,69.31999969482422,67.63999938964844,68.08000183105469,443747
2025-10-10,67.41999816894531,68.5999984741211,67.05999755859375,68.5999984741211,278578
2025-10-13,67.62000274658203,68.5999984741211,67.19999694824219,67.80000305175781,327030
2025-10-14,67.12000274658203,67.91999816894531,66.86000061035156,67.73999786376953,218363
2025-10-15,67.08000183105469,67.77999877929688,66.72000122070312,67.5199966430664,271533
2025-10-16,67.30000305175781,68.4000015258789,67.19999694824219,67.5999984741211,224132
2025-10-17,67.19999694824219,67.45999908447266,66.5999984741211,67.30000305175781,248788
2025-10-20,69.30000305175781,69.80000305175781,67.33999633789062,67.87999725341797,443702
2025-10-21,68.54000091552734,70.5,68.41999816894531,69.72000122070312,250297
2025-10-22,67.19999694824219,68.66000366210938,67.04000091552734,67.9000015258789,410073
2025-10-23,68.16000366210938,68.22000122070312,67.26000213623047,67.5,197651
2025-10-24,67.9000015258789,68.83999633789062,67.68000030517578,68.16000366210938,243144
2025-10-27,68.18000030517578,69.18000030517578,68.12000274658203,69.0,206724
2025-10-28,68.4800033569336,69.18000030517578,68.22000122070312,68.76000213623047,298492
2025-10-29,65.5999984741211,68.26000213623047,61.86000061035156,62.060001373291016,3236099
2025-10-30,68.5,69.12000274658203,65.91999816894531,67.19999694824219,802503
2025-10-31,69.69999694824219,69.69999694824219,67.30000305175781,68.9000015258789,592284
2025-11-03,68.41999816894531,69.95999908447266,68.31999969482422,69.95999908447266,340734
2025-11-04,70.55999755859375,70.69999694824219,68.45999908447266,68.69999694824219,445533
2025-11-05,71.5199966430664,72.80000305175781,70.62000274658203,70.76000213623047,526120
2025-11-06,70.44000244140625,71.95999908447266,70.33999633789062,71.16000366210938,327777
2025-11-07,70.0199966430664,71.23999786376953,69.5999984741211,71.0,306264
2025-11-10,71.4000015258789,71.4000015258789,70.27999877929688,70.9800033569336,165395
2025-11-12,72.30000305175781,73.45999908447266,71.68000030517578,72.4000015258789,357542
2025-11-13,69.73999786376953,72.9800033569336,69.73999786376953,72.9800033569336,656149
2025-11-14,70.04000091552734,70.81999969482422,69.04000091552734,69.9800033569336,289609
2025-11-17,68.91999816894531,70.69999694824219,68.66000366210938,70.58000183105469,180317
2025-11-18,68.62000274658203,69.5199966430664,68.0,68.80000305175781,213388
2025-11-19,70.04000091552734,70.36000061035156,68.30000305175781,68.30000305175781,159745
2025-11-20,70.0,71.0,69.63999938964844,71.0,103615
2025-11-21,68.0199966430664,70.04000091552734,68.0199966430664,69.9800033569336,257236
2025-11-24,68.33999633789062,68.5,67.23999786376953,68.23999786376953,191880
2025-11-25,69.23999786376953,69.23999786376953,67.72000122070312,68.5,200460
2025-11-26,69.77999877929688,70.0199966430664,68.80000305175781,69.44000244140625,208737
2025-11-27,70.27999877929688,70.27999877929688,68.91999816894531,70.0,144654
2025-11-28,70.66000366210938,70.76000213623047,69.55999755859375,70.27999877929688,128956
2025-12-01,70.0,70.73999786376953,69.81999969482422,70.66000366210938,206917
2025-12-02,70.0,70.36000061035156,69.26000213623047,70.36000061035156,181841
2025-12-03,69.19999694824219,70.36000061035156,69.19999694824219,70.0,97676
2025-12-04,69.30000305175781,70.23999786376953,68.58000183105469,70.23999786376953,193127
2025-12-05,68.5199966430664,69.87999725341797,68.5199966430664,69.5,120819
2025-12-08,69.04000091552734,69.27999877929688,68.23999786376953,68.5,135271
2025-12-09,70.77999877929688,70.77999877929688,68.62000274658203,69.23999786376953,402318
2025-12-10,72.4000015258789,73.5199966430664,70.0999984741211,70.95999908447266,397716
2025-12-11,70.83999633789062,72.5,70.45999908447266,72.4000015258789,220811
2025-12-12,69.5999984741211,71.69999694824219,69.54000091552734,71.0999984741211,399918
2025-12-15,70.36000061035156,71.33999633789062,69.5,70.0,232842
2025-12-16,69.30000305175781,70.72000122070312,69.23999786376953,70.63999938964844,254092
2025-12-17,69.18000030517578,69.80000305175781,68.4000015258789,69.80000305175781,275772
2025-12-18,69.4000015258789,70.13999938964844,68.87999725341797,69.4800033569336,253080
2025-12-19,69.81999969482422,70.13999938964844,69.23999786376953,69.4000015258789,306775
2025-12-22,71.0,71.19999694824219,69.95999908447266,70.36000061035156,268527
2025-12-23,71.04000091552734,71.62000274658203,70.45999908447266,71.16000366210938,299467
2025-12-29,72.23999786376953,72.4000015258789,71.30000305175781,71.30000305175781,188584
2025-12-30,71.81999969482422,72.45999908447266,71.44000244140625,72.27999877929688,140775
