Price,Close,High,Low,Open,Volume
Ticker,LDO.MI,LDO.MI,LDO.MI,LDO.MI,LDO.MI
Date,,,,,
2025-06-30,47.779998779296875,47.84000015258789,46.72999954223633,46.810001373291016,2817663
2025-07-01,45.38999938964844,47.7599983215332,45.38999938964844,47.7400016784668,2982411
2025-07-02,45.45000076293945,45.880001068115234,44.93000030517578,45.709999084472656,3081095
2025-07-03,45.77000045776367,45.9900016784668,45.040000915527344,45.38999938964844,1889922
2025-07-04,45.869998931884766,46.11000061035156,45.470001220703125,45.779998779296875,1807854
2025-07-07,46.619998931884766,46.619998931884766,45.68000030517578,45.86000061035156,1771259
2025-07-08,46.97999954223633,47.18000030517578,46.439998626708984,46.79999923706055,2328209
2025-07-09,46.95000076293945,47.29999923706055,46.310001373291016,47.16999816894531,2542170
2025-07-10,46.63999938964844,47.849998474121094,46.150001525878906,47.5,2892894
2025-07-11,47.290000915527344,47.349998474121094,46.369998931884766,46.45000076293945,2699556
2025-07-14,48.59000015258789,48.59000015258789,46.619998931884766,46.93000030517578,2755144
2025-07-15,47.779998779296875,48.59000015258789,47.369998931884766,48.529998779296875,2590547
2025-07-16,46.439998626708984,47.9900016784668,46.310001373291016,47.9900016784668,2474443
2025-07-17,47.59000015258789,47.599998474121094,46.4900016784668,46.56999969482422,1923238
2025-07-18,49.119998931884766,49.189998626708984,47.68000030517578,47.77000045776367,3768606
2025-07-21,48.70000076293945,49.150001525878906,47.959999084472656,49.0,2190634
2025-07-22,48.310001373291016,49.20000076293945,47.34000015258789,48.349998474121094,2765773
2025-07-23,48.650001525878906,49.029998779296875,47.86000061035156,48.650001525878906,2578576
2025-07-24,47.56999969482422,49.439998626708984,47.349998474121094,48.75,2462887
2025-07-25,47.560001373291016,48.130001068115234,47.13999938964844,47.630001068115234,1328839
2025-07-28,46.189998626708984,47.560001373291016,45.959999084472656,47.5,3020744
2025-07-29,47.849998474121094,47.939998626708984,46.31999969482422,46.52000045776367,2155840
2025-07-30,47.939998626708984,49.439998626708984,46.939998626708984,47.75,3473831
2025-07-31,47.27000045776367,49.0,47.27000045776367,49.0,3344523
2025-08-01,46.06999969482422,47.11000061035156,45.40999984741211,47.099998474121094,2679049
2025-08-04,47.33000183105469,47.7400016784668,46.29999923706055,46.5,2406232
2025-08-05,48.18000030517578,48.560001373291016,47.16999816894531,47.439998626708984,2014251
2025-08-06,49.66999816894531,49.689998626708984,47.720001220703125,48.459999084472656,4463914
2025-08-07,46.619998931884766,49.380001068115234,46.189998626708984,49.279998779296875,7949212
2025-08-08,45.43000030517578,47.47999954223633,45.099998474121094,46.970001220703125,4858866
2025-08-11,45.11000061035156,45.31999969482422,43.720001220703125,44.18000030517578,3635046
2025-08-12,45.91999816894531,46.119998931884766,45.02000045776367,45.11000061035156,2100491
2025-08-13,46.70000076293945,47.43000030517578,46.5,46.5,2853943
2025-08-14,47.79999923706055,48.22999954223633,46.540000915527344,46.77000045776367,4045063
2025-08-18,49.310001373291016,49.56999969482422,47.779998779296875,48.06999969482422,3626315
2025-08-19,44.29999923706055,49.150001525878906,44.16999816894531,48.959999084472656,11223175
2025-08-20,44.86000061035156,45.029998779296875,43.150001525878906,43.5,4354314
2025-08-21,47.029998779296875,47.09000015258789,45.29999923706055,45.4900016784668,5649449
2025-08-22,47.349998474121094,47.7599983215332,47.130001068115234,47.29999923706055,3498338
2025-08-25,48.45000076293945,48.709999084472656,46.95000076293945,46.9900016784668,3881823
2025-08-26,48.540000915527344,48.66999816894531,47.529998779296875,48.380001068115234,2949871
2025-08-27,48.36000061035156,48.9900016784668,47.779998779296875,48.650001525878906,3551495
2025-08-28,48.36000061035156,48.939998626708984,47.70000076293945,48.20000076293945,2756535
2025-08-29,48.72999954223633,49.5,48.29999923706055,48.54999923706055,4010409
2025-09-01,50.939998626708984,50.939998626708984,48.79999923706055,48.81999969482422,4897408
2025-09-02,48.939998626708984,50.97999954223633,47.939998626708984,50.97999954223633,4557553
2025-09-03,49.20000076293945,49.849998474121094,48.83000183105469,49.400001525878906,2033930
2025-09-04,47.220001220703125,49.08000183105469,47.220001220703125,48.900001525878906,3415867
2025-09-05,47.13999938964844,48.099998474121094,46.84000015258789,47.279998779296875,2271048
2025-09-08,47.38999938964844,48.2599983215332,47.02000045776367,47.70000076293945,1731780
2025-09-09,47.2599983215332,47.43000030517578,46.189998626708984,47.099998474121094,2291574
2025-09-10,48.400001525878906,48.59000015258789,47.29999923706055,47.93000030517578,3556158
2025-09-11,49.790000915527344,49.790000915527344,47.81999969482422,48.56999969482422,3398189
2025-09-12,50.5,50.68000030517578,49.5099983215332,49.599998474121094,3490336
2025-09-15,52.36000061035156,52.400001525878906,50.400001525878906,50.560001373291016,4507251
2025-09-16,50.779998779296875,52.91999816894531,50.70000076293945,52.459999084472656,3715165
2025-09-17,49.5,51.459999084472656,49.290000915527344,50.79999923706055,2440590
2025-09-18,49.900001525878906,50.560001373291016,49.290000915527344,50.13999938964844,2007367
2025-09-19,49.84000015258789,50.31999969482422,49.31999969482422,50.040000915527344,4582107
2025-09-22,51.720001220703125,51.7599983215332,50.20000076293945,50.2599983215332,3168650
2025-09-23,50.599998474121094,52.060001373291016,50.459999084472656,51.959999084472656,2386274
2025-09-24,52.900001525878906,52.900001525878906,51.34000015258789,51.41999816894531,5281288
2025-09-25,52.84000015258789,52.97999954223633,51.91999816894531,52.5,2888538
2025-09-26,53.0,53.7400016784668,52.380001068115234,52.97999954223633,2732675
2025-09-29,54.099998474121094,54.47999954223633,52.91999816894531,53.459999084472656,3068151
2025-09-30,54.02000045776367,54.41999816894531,52.880001068115234,53.91999816894531,2867539
2025-10-01,54.0,54.20000076293945,52.099998474121094,54.20000076293945,3304277
2025-10-02,55.65999984741211,55.65999984741211,53.84000015258789,54.0,4339333
2025-10-03,55.79999923706055,56.68000030517578,55.599998474121094,55.959999084472656,2894299
2025-10-06,55.36000061035156,56.63999938964844,54.959999084472656,56.599998474121094,2304589
2025-10-07,54.880001068115234,55.36000061035156,54.119998931884766,55.29999923706055,1905865
2025-10-08,56.20000076293945,56.599998474121094,55.63999938964844,56.02000045776367,3339509
2025-10-09,55.47999954223633,56.08000183105469,55.13999938964844,55.79999923706055,2271693
2025-10-10,52.900001525878906,55.400001525878906,52.2599983215332,55.13999938964844,3927678
2025-10-13,52.79999923706055,53.599998474121094,52.2599983215332,53.29999923706055,1747126
2025-10-14,52.380001068115234,52.47999954223633,50.91999816894531,52.040000915527344,1956096
2025-10-15,50.18000030517578,52.599998474121094,50.15999984741211,52.560001373291016,2378175
2025-10-16,50.79999923706055,51.47999954223633,49.459999084472656,49.52000045776367,2256701
2025-10-17,48.099998474121094,49.79999923706055,47.75,49.5,4659538
2025-10-20,50.18000030517578,50.439998626708984,48.84000015258789,49.15999984741211,3567246
2025-10-21,50.81999969482422,51.040000915527344,50.060001373291016,51.0,2320979
2025-10-22,50.5,52.720001220703125,50.5,51.459999084472656,3097831
2025-10-23,51.34000015258789,52.380001068115234,51.2400016784668,51.65999984741211,2061016
2025-10-24,51.2400016784668,52.08000183105469,50.63999938964844,52.0,1465012
2025-10-27,51.060001373291016,52.15999984741211,50.7400016784668,51.7599983215332,1680538
2025-10-28,51.7400016784668,51.97999954223633,50.220001220703125,50.7599983215332,1389118
2025-10-29,51.099998474121094,51.81999969482422,50.560001373291016,51.81999969482422,2019239
2025-10-30,50.52000045776367,51.13999938964844,50.15999984741211,51.02000045776367,1532342
2025-10-31,50.880001068115234,51.47999954223633,50.279998779296875,50.70000076293945,1563612
2025-11-03,52.08000183105469,52.13999938964844,51.060001373291016,51.20000076293945,1983086
2025-11-04,51.02000045776367,51.279998779296875,50.540000915527344,51.2400016784668,2434355
2025-11-05,50.5,52.29999923706055,49.529998779296875,50.599998474121094,4345368
2025-11-06,49.630001068115234,51.18000030517578,48.779998779296875,50.86000061035156,3770369
2025-11-07,50.52000045776367,51.13999938964844,48.79999923706055,49.33000183105469,2461612
2025-11-10,50.79999923706055,51.58000183105469,50.68000030517578,51.0,2112543
2025-11-11,49.95000076293945,50.400001525878906,49.25,50.400001525878906,3061241
2025-11-12,50.18000030517578,50.52000045776367,49.63999938964844,49.95000076293945,2424051
2025-11-13,51.36000061035156,51.900001525878906,49.97999954223633,49.97999954223633,3276599
2025-11-14,50.459999084472656,50.79999923706055,49.2400016784668,50.7400016784668,3107222
2025-11-17,51.08000183105469,51.7599983215332,50.29999923706055,50.34000015258789,2440558
2025-11-18,50.15999984741211,51.97999954223633,49.97999954223633,50.0,2353592
2025-11-19,47.720001220703125,50.599998474121094,47.33000183105469,50.459999084472656,4337944
2025-11-20,49.099998474121094,50.08000183105469,47.959999084472656,48.08000183105469,3100053
2025-11-21,46.040000915527344,47.75,46.040000915527344,47.36000061035156,5385053
2025-11-24,44.970001220703125,45.84000015258789,44.790000915527344,45.0,4807583
2025-11-25,45.38999938964844,45.970001220703125,44.45000076293945,45.0,3827934
2025-11-26,45.56999969482422,46.52000045776367,45.20000076293945,46.27000045776367,2513615
2025-11-27,46.189998626708984,46.5099983215332,45.59000015258789,45.970001220703125,1992609
2025-11-28,46.90999984741211,47.56999969482422,45.880001068115234,46.47999954223633,3388703
2025-12-01,45.68000030517578,46.505001068115234,45.15999984741211,46.36000061035156,3011185
2025-12-02,45.959999084472656,46.72999954223633,44.83000183105469,45.599998474121094,3664808
2025-12-03,46.72999954223633,47.08000183105469,46.08000183105469,46.900001525878906,2688839
