,AAPL,MSFT,GOOG,NVDA
AAPL,1.0,0.1999076168273461,0.3516937582032354,0.2562358560183065
MSFT,0.1999076168273461,1.0,0.16379344776187957,0.4777967970084692
GOOG,0.3516937582032354,0.16379344776187957,1.0,0.17263164917040633
NVDA,0.2562358560183065,0.4777967970084692,0.17263164917040633,1.0
